name,nomination_no,congress_no,circuit,confirmation_date,yea_votes,nay_votes,record_vote_number
Jacqueline H. Nguyen,PN985,112,Ninth,05/07/2012,91,3,88
Stephanie Dawn Thacker,PN919,112,Fourth,04/16/2012,91,3,64
Adalberto Jose Jordan,PN864,112,Eleventh,02/15/2012,94,5,19
Evan Jonathan Wallach,PN856,112,Federal,11/08/2011,99,0,199
Morgan Christen,PN555,112,Ninth,12/15/2011,95,3,231
Stephen A. Higginson,PN511,112,Fifth,10/31/2011,88,0,188
Christopher Droney,PN465,112,Second,11/28/2011,88,0,209
Henry F. Floyd,PN90,112,Fourth,10/03/2011,96,0,154
Susan L. Carney,PN8,112,Second,05/17/2011,71,28,71
Bernice Bouie Donald,PN7,112,Sixth,09/06/2011,96,2,124
James E. Graves Jr.,PN4,112,Fifth,02/14/2011,,,
Jimmie V. Reyna,PN1,112,Federal,04/04/2011,86,0,47
Mary Helen Murguia,PN1576,111,Ninth,12/22/2010,89,0,299
Kathleen M. O'Malley,PN1549,111,Federal,12/22/2010,,,
Raymond Joseph Lohier Jr.,PN1548,111,Second,12/19/2010,92,0,284
Scott M. Matheson Jr.,PN1497,111,Tenth,12/22/2010,,,
James A. Wynn Jr.,PN1139,111,Fourth,08/05/2010,,,
Albert Diaz,PN1138,111,Fourth,12/18/2010,,,
O. Rogeriee Thompson,PN1061,111,First,03/17/2010,98,0,56
Denny Chin,PN1060,111,Second,04/22/2010,98,0,123
Barbara Milano Keenan,PN937,111,Fourth,03/02/2010,99,0,30
Thomas I. Vanaskie,PN909,111,Third,04/21/2010,77,20,122
Jane Branstetter Stranch,PN885,111,Sixth,09/13/2010,71,21,230
Beverly Baldwin Martin,PN635,111,Eleventh,01/20/2010,97,0,1
Joseph A. Greenaway Jr.,PN634,111,Third,02/09/2010,84,0,21
Gerard E. Lynch,PN263,111,Second,09/17/2009,94,3,288
Andre M. Davis,PN262,111,Fourth,11/09/2009,72,16,342
David F. Hamilton,PN187,111,Seventh,11/19/2009,59,39,350
Helene N. White,PN1560,110,Sixth,06/24/2008,63,32,156
G. Steven Agee,PN1484,110,Fourth,05/20/2008,96,0,136
John Daniel Tinder,PN768,110,Seventh,12/18/2007,93,0,442
Catharina Haynes,PN766,110,Fifth,04/10/2008,,,
Jennifer Walker Elrod,PN402,110,Fifth,10/04/2007,,,
Raymond M. Kethledge,PN343,110,Sixth,06/24/2008,,,
Norman Randy Smith,PN183,110,Ninth,02/15/2007,94,0,49
Debra Ann Livingston,PN11,110,Second,05/09/2007,91,0,158
Thomas M. Hardiman,PN8,110,Third,03/15/2007,95,0,78
Leslie Southwick,PN2,110,Fifth,10/24/2007,59,38,393
